title,creator,date,type,venue,venue_type,status,theme,subtheme,trajectory,project_group,subject,description,abstract,doi,arxiv_id,cited_by,citation,object_thumb,object_location,reference_url
"Towards Housing Equity: The Role of CDBG Grants","Stokan, Eric; Overton, Michael; Hatch, Megan","2025","Journal Article","Urban Affairs Review","Peer-reviewed journal","Published","Municipal Finance and Budgeting","Economic Development","Community Development Block Grants","","Housing policy; Social equity; CDBG; Federal grants","Journal Article in Urban Affairs Review. 2025.","Housing rehabilitation investments funded through programs such as the Community Development Block Grant (CDBG) have been shown to increase property values; however, whether the same market value returns to these investments is realized for racial minority homeowners has lacked empirical scrutiny. This article examines the impact of housing rehabilitation services, funded through the CDBG program, on changes in property values in Dallas County, Texas, between 2004 and 2020. Based on a prediction of the homeowner&#39;s race/ethnicity, we estimate the impact of these investments on property values using a Generalized Synthetic Control model. The results highlight that while the program is effective and enhances outcome equality, with no significant difference in property value effects between estimates for different race/ethnicity groups, outcome equity is not achieved. This goal imposes higher standards than efficiency or equality for policymakers wishing to pursue racial outcome equity requiring governments to tailor programs to overcome historical discrimination.","https://doi.org/10.1177/10780874251359269","","","Stokan, Eric, Michael Overton, Megan Hatch. (2025) &quot;Towards Housing Equity: The Role of CDBG Grants.&quot; Urban Affairs Review, (OnlineFirst). https://doi.org/10.1177/10780874251359269","https://www.michaeloverton.net/research/objects/thumbs/towards_housing_equity_the_role_of_cdbg_grants_th.jpg","https://doi.org/10.1177/10780874251359269",/research/items/towards_housing_equity_the_role_of_cdbg_grants.html
"Is There a Gold Standard or Need for a City-Centric Approach for Sales Tax Revenue Forecasting","Larson, Sarah; Overton, Michael","2025","Journal Article","Public Finance Journal","Peer-reviewed journal","Published","Municipal Finance and Budgeting","Forecasting","Sales Tax Revenue Forecasting","","Revenue forecasting; Sales tax; Municipal finance","Journal Article in Public Finance Journal. 2025.","The accuracy of sales tax revenue forecasting is essential for local governments, as they rely on these forecasts to develop their annual budgets. Previous research has focused on identifying gold-standard forecasting methods with high average accuracy across multiple cities. However, such approaches may still produce inaccurate predictions for specific municipalities, making this scholarship less relevant to practitioners. Our research addresses the gap in the existing literature by focusing on the relative accuracy of forecasts from the municipal perspective rather than the overall average accuracy across all municipalities—a city-centric approach—to identify variations in various machine learning and traditional revenue forecasting methods. Here, we show that following the steps of PREE: (P) prepare, (R) run multiple models, (E) evaluate against benchmarks, and (E) evaluate overall performance can help to maximize the accuracy of sales tax revenue forecasting at the municipal level. The high variability in model performance across municipalities highlights the risks associated with relying on a single gold-standard forecasting approach. Instead, practitioners should focus on forecasting processes, such as PREE.","https://doi.org/10.59469/pfj.2025.45","","1","Larson, Sarah and Michael Overton. (2025) &quot;Is There a Gold Standard or Need for a City-Centric Approach for Sales Tax Revenue Forecasting.&quot; Public Finance Journal, 2 (2), 99-120. https://doi.org/10.59469/pfj.2025.45","https://www.michaeloverton.net/research/objects/thumbs/is_there_a_gold_standard_or_need_for_a_city_centric_approach_th.jpg","https://doi.org/10.59469/pfj.2025.45",/research/items/is_there_a_gold_standard_or_need_for_a_city_centric_approach.html
"Rethinking Development and Redistribution Policy: Testing the Local Expenditure Assumption using the Community Development Block Grant Program","Overton, Michael; Stokan, Eric","2025","Journal Article","Journal of Urban Affairs","Peer-reviewed journal","Published","Municipal Finance and Budgeting","Economic Development","Community Development Block Grants","","Local expenditure; CDBG; Redistribution; Urban policy","Journal Article in Journal of Urban Affairs. 2025.","Local governments make important public service decisions based on a critical assumption from urban political economy scholarship that development activities lead to economic growth, while redistributive activities do not. Using the Community Development Block Grant (CDBG) program, we test this local expenditure assumption by exploring the differential effectiveness of CDBG activities on individual and neighboring residential and commercial property values. To this end, we challenge the notion that development policies frequently improve economic returns while redistributive policies do not. We analyze the economic impact of 16 different CDBG activities on more than seven million properties between 2004 and 2017 in Dallas County, Texas. We find strong evidence that, contrary to conventional wisdom, redistributive policies can yield positive economic returns while development expenditures have mixed results. These findings have important implications for local governments seeking to grow their economy equitably.","https://doi.org/10.1080/07352166.2023.2171880","","7","Overton, Michael and Eric Stokan. (2025). &quot;Rethinking Development and Redistribution Policy: Testing the Local Expenditure Assumption using the Community Development Block Grant Program.&quot; Journal of Urban Affairs, 47 (1), 214-234. https://doi.org/10.1080/07352166.2023.2171880","https://www.michaeloverton.net/research/objects/thumbs/rethinking_development_and_redistribution_policy_testing_the_th.jpg","https://doi.org/10.1080/07352166.2023.2171880",/research/items/rethinking_development_and_redistribution_policy_testing_the.html
"Assessing the Impact of Generative Artificial Intelligence on the U.S. Federal Workforce through a Competency-Based Approach","Resh, Bill; Ming, Yi; Xia, Xinyao; Overton, Michael; Gurbuz, Gul Nisa; Breuhl, Brandon De","2025","Preprint","arXiv","Preprint","Under review","Data Science and AI","AI","","AI and The Future of Government Work","Generative AI; Federal workforce; Competency","Preprint in arXiv. 2025.","This study investigates the near-future impacts of generative artificial intelligence (AI) technologies on occupational competencies across the U.S. federal workforce. We develop a multi-stage Retrieval-Augmented Generation system to leverage large language models for predictive AI modeling that projects shifts in required competencies and to identify vulnerable occupations on a knowledge-by-skill-by-ability basis across the federal government workforce. This study highlights policy recommendations essential for workforce planning in the era of AI. We integrate several sources of detailed data on occupational requirements across the federal government from both centralized and decentralized human resource sources, including from the U.S. Office of Personnel Management (OPM) and various federal agencies. While our preliminary findings suggest some significant shifts in required competencies and potential vulnerability of certain roles to AI-driven changes, we provide nuanced insights that support arguments against abrupt or generic approaches to strategic human capital planning around the development of generative AI. The study aims to inform strategic workforce planning and policy development within federal agencies and demonstrates how this approach can be replicated across other large employment institutions and labor markets.","https://doi.org/10.48550/arXiv.2503.09637","2503.09637","1","Resh, Bill, Yi Ming, Xinyao Xia, Michael Overton, Gul Nisa Gurbuz, and Brandon De Breuhl. &quot;Assessing the Impact of Generative Artificial Intelligence on the U.S. Federal Workforce through a Competency-Based Approach.&quot; arXiv preprint arXiv:2503.09637. https://doi.org/10.48550/arXiv.2503.09637 (Under Review)","https://www.michaeloverton.net/research/objects/thumbs/assessing_the_impact_of_generative_artificial_intelligence_o_th.jpg","https://www.michaeloverton.net/research/objects/genai_federal_workforce.pdf",/research/items/assessing_the_impact_of_generative_artificial_intelligence_o.html
"TaMPERING with Large Language Models: A Field Guide for Generative AI in Public Administration Research","Overton, Michael; Robison, Barrie; Sheneman, Luke","2025","Preprint","arXiv","Preprint","Under review","Data Science and AI","AI","","","Generative AI; LLMs; Research methods; Reporting standards","Preprint in arXiv. 2025.","The integration of Large Language Models (LLMs) into social science research presents transformative opportunities for advancing scientific inquiry, particularly in public administration (PA). However, the absence of standardized methodologies for using LLMs poses significant challenges for ensuring transparency, reproducibility, and replicability. This manuscript introduces the TaMPER framework-a structured methodology organized around five critical decision points: Task, Model, Prompt, Evaluation, and Reporting. The TaMPER framework provides scholars with a systematic approach to leveraging LLMs effectively while addressing key challenges such as model variability, prompt design, evaluation protocols, and transparent reporting practices.","https://doi.org/10.48550/arXiv.2504.01037","2504.01037","","Overton, Michael, Barrie Robison, and Luke Sheneman. &quot;TaMPERING with Large Language Models: A Field Guide for Generative AI in Public Administration Research.&quot; arXiv preprint arXiv:2504.01037. https://doi.org/10.48550/arXiv.2504.01037 (Under Review)","https://www.michaeloverton.net/research/objects/thumbs/tampering_with_large_language_models_a_field_guide_for_gener_th.jpg","https://www.michaeloverton.net/research/objects/tampering_llm.pdf",/research/items/tampering_with_large_language_models_a_field_guide_for_gener.html
"Modeling Approach Matters but not as Much as Preprocessing: Comparison of Machine Learning and Traditional Revenue Forecasting Techniques","Larson, Sarah; Overton, Michael","2024","Journal Article","Public Finance Journal","Peer-reviewed journal","Published","Municipal Finance and Budgeting","Forecasting","Sales Tax Revenue Forecasting","","Machine learning; Revenue forecasting; Preprocessing","Journal Article in Public Finance Journal. 2024.","Revenue forecasting accuracy is critical to governmental operations. This paper addresses the question: What is the best technique for forecasting sales tax revenue? Prior studies in this area have focused on the differences between machine learning techniques and traditional approaches and neglected to consider how differences in pre-processing steps for the data before the forecasting model is applied are important. Here, we show that machine learning techniques do not always provide increased forecasting accuracy. Instead, the modeling choices matter, but less than the prior literature and practice suggested. Rather, pre-processing makes the most significant difference in forecasting accuracy, and forecasters need to understand the unique characteristics of time series data to improve forecasting performance. The immediate implications of these findings are that the focus of practitioners of in sales tax revenue forecasting should shift from prioritizing model choice towards data pre-processing.","https://doi.org/10.59469/pfj.2024.8","","7","Larson, Sarah and Michael Overton. (2024). &quot;Modeling Approach Matters but not as Much as Preprocessing: Comparison of Machine Learning and Traditional Revenue Forecasting Techniques.&quot; Public Finance Journal, 1 (1), 29-48. https://doi.org/10.59469/pfj.2024.8","https://www.michaeloverton.net/research/objects/thumbs/modeling_approach_matters_but_not_as_much_as_preprocessing_c_th.jpg","https://doi.org/10.59469/pfj.2024.8",/research/items/modeling_approach_matters_but_not_as_much_as_preprocessing_c.html
"Whose Neighborhood Needs? Assessing the Spatial Distribution of Federal Community Development Funds","Stokan, Eric; Overton, Michael; Deslatte, Aaron; Zhang, Christine","2024","Journal Article","Urban Affairs Review","Peer-reviewed journal","Published","Municipal Finance and Budgeting","Economic Development","Community Development Block Grants","","Spatial analysis; Community development; Federal funding","Journal Article in Urban Affairs Review. 2024.","Local governments must balance their growth ambitions against needs arising from social inequities. The Community Development Block Grant (CDBG) program aims to redress these disparities by directing funds toward disinvested tracts. We ask whether a city&#39;s institutional design, public and private actor composition, and resource availability influence the decision to invest in communities with greater levels of social need. Utilizing a social equity framework, we connect place-level procedural fairness mechanisms with neighborhood-level access equity consequences. Combining U.S. local government survey data over two decades with census tract-level CDBG expenditures, we find that in neighborhood where 51 percent or more of the families are low-to-moderate income (LMI), its likelihood of receiving funds increases with its share of LMI population relative to the city&#39;s, but at a diminished rate compared to non-LMI tracts. Further, city-level factors moderate this relationship (e.g., including community development corporations in planning processes).","https://doi.org/10.1177/10780874231212843","","5","Stokan, Eric, Michael Overton, Aaron Deslatte, Christine Zhang. (2024). &quot;Whose Neighborhood Needs? Assessing the Spatial Distribution of Federal Community Development Funds.&quot; Urban Affairs Review, 60 (1), 29-48. https://doi.org/10.1177/10780874231212843","https://www.michaeloverton.net/research/objects/thumbs/whose_neighborhood_needs_assessing_the_spatial_distribution_th.jpg","https://doi.org/10.1177/10780874231212843",/research/items/whose_neighborhood_needs_assessing_the_spatial_distribution.html
"50 Years as the 4th Pillar of Public Administration: A Polycentric Extension of the Social Equity Framework","Stokan, Eric; Hatch, Megan; Overton, Michael","2023","Journal Article","Public Administration","Peer-reviewed journal","Published","Municipal Finance and Budgeting","Economic Development","Community Development Block Grants","","Social equity; Polycentricity; Public administration theory","Journal Article in Public Administration. 2023.","Abstract While public consideration of social equity pre‐dates Minnowbrook (Blessett et al., 2019; Burnier, 2021), the field formally recognized social equity as its fourth pillar after the conference (Frederickson, 1971). The National Academy of Public Administration (NAPA, 2000), Svara and Brunet (2004, 2005), and Johnson and Svara (2011) outlined a unified social equity framework along four dimensions: procedural fairness, access, quality, and outcomes. We build on this important work by offering a polycentric extension , which considers what social equity means when government programs are often place‐based and delivered in an intergovernmental context with multiple decision‐making units across spatial levels (e.g., state, city, neighborhood) simultaneously. Using the Community Development Block Grant as an example, we demonstrate the importance of careful consideration of geographic levels in the delivery of public goods for understanding the program&#39;s social equity implications. The polycentric framework can be a useful tool for evaluating the social equity of policies.","https://doi.org/10.1111/padm.12888","","30","Stokan, Eric, Megan Hatch, and Michael Overton. (2023). &quot;50 Years as the 4th Pillar of Public Administration: A Polycentric Extension of the Social Equity Framework.&quot; Public Administration, 101 (4), 1427-1442. https://doi.org/10.1111/padm.12888","https://www.michaeloverton.net/research/objects/thumbs/50_years_as_the_4th_pillar_of_public_administration_a_polyce_th.jpg","https://doi.org/10.1111/padm.12888",/research/items/50_years_as_the_4th_pillar_of_public_administration_a_polyce.html
"Administrative Informatics: A Roundtable on the Conceptual Foundations of a Public Administration-Centered Data Science Subfield","Overton, Michael; Kleinschmit, Stephen; Feeney, Mary; Fusi, Federica; Hart, Nick; Maruolis, Spiro; Schwoerer, Kayla; Stokan, Eric; Thomas, Herschel; Workman, Samuel","2023","Journal Article","Journal of Behavioral Public Administration","Peer-reviewed journal","Published","Data Science and AI","Data Science","Administrative Informatics","","Administrative informatics; Data science; Disciplinary formation","Journal Article in Journal of Behavioral Public Administration. 2023.","The purpose of this roundtable is to present, argue, and evaluate the role of administrative informatics in behavioral public administration. This essay is broken up into three sections. The first section introduces the substantive focus of administrative informatics and how it can be studied. The second section introduces the central concepts required to establish a new approach to scientific knowledge production. The final section provides a short overview of the contributions of the roundtable and nests them within the arguments established in this essay.","https://doi.org/10.30636/jbpa.61.330","","2","Overton, Michael, Stephen Kleinschmit, Mary Feeney, Federica Fusi, Nick Hart, Spiro Maruolis, Kayla Schwoerer, Eric Stokan, Herschel Thomas, and Samuel Workman. (2023) &quot;Administrative Informatics: A Roundtable on the Conceptual Foundations of a Public Administration-Centered Data Science Subfield.&quot; Overton, Michael and Stephen Kleinschmit contributed &quot;Defining Administrative Informatics: An Applied Data Science Subfield for the Public Sector.&quot; Journal of Behavioral Public Administration, (6), 1-31. https://doi.org/10.30636/jbpa.61.330","https://www.michaeloverton.net/research/objects/thumbs/administrative_informatics_a_roundtable_on_the_conceptual_fo_th.jpg","https://doi.org/10.30636/jbpa.61.330",/research/items/administrative_informatics_a_roundtable_on_the_conceptual_fo.html
"Transforming research methods education through data science literacy","Overton, Michael; Kleinschmit, Stephen","2023","Journal Article","Teaching Public Administration","Peer-reviewed journal","Published","Data Science and AI","Data Science","Data Science Literacy","","Pedagogy; Research methods; Data science literacy","Journal Article in Teaching Public Administration. 2023.","Mass adoption of advanced information technologies is fueling a need for public servants with the skills to manage data-driven public agencies. Public employees typically acquire data skills through graduate research methods courses, which focus primarily on research design and statistical analysis. What data skills are currently taught, and what content should Master of Public Administration (MPA) programs include in their research method courses? We categorized research method course content in 52 syllabi from 31 MPA programs to understand how data skills are taught in public administration. We find that most graduate programs rely on research methods more suited for academic and policy research while lacking the data skills needed to modernize public agencies. Informed by these results, this work presents the Data Science Literacy Framework as a guide for assessing and planning curriculum within MPA programs.","https://doi-org.uidaho.idm.oclc.org/10.1177/01447394221084488","","8","Overton, Michael, and Stephen Kleinschmit. (2023). &quot;Transforming research methods education through data science literacy.&quot; Teaching Public Administration, 41 (2), 149-169. https://doi-org.uidaho.idm.oclc.org/10.1177/01447394221084488","https://www.michaeloverton.net/research/objects/thumbs/transforming_research_methods_education_through_data_science_th.jpg","https://doi-org.uidaho.idm.oclc.org/10.1177/01447394221084488",/research/items/transforming_research_methods_education_through_data_science.html
